min aln length reached: 50 bp  (total mapped 7585)

--- identity >= 0.99 ---
class	L>=50	L>=75	L>=100	L>=125	L>=150	L>=200
ALT	2481	2053	1836	1649	1388	75
NMOR	1	0	0	0	0	0  <-- LEAK
NSAC	28	11	9	8	6	4  <-- LEAK
NBOL	6	2	0	0	0	0  <-- LEAK
NPSI	42	0	0	0	0	0  <-- LEAK
SHUF	0	0	0	0	0	0

--- identity >= 0.97 ---
class	L>=50	L>=75	L>=100	L>=125	L>=150	L>=200
ALT	4171	3560	3179	2901	2319	124
NMOR	2	0	0	0	0	0  <-- LEAK
NSAC	123	13	10	9	6	4  <-- LEAK
NBOL	392	4	0	0	0	0  <-- LEAK
NPSI	1258	6	1	0	0	0  <-- LEAK
SHUF	0	0	0	0	0	0

--- identity >= 0.95 ---
class	L>=50	L>=75	L>=100	L>=125	L>=150	L>=200
ALT	4866	4217	3775	3431	2645	140
NMOR	2	0	0	0	0	0  <-- LEAK
NSAC	134	13	10	9	6	4  <-- LEAK
NBOL	433	7	1	0	0	0  <-- LEAK
NPSI	1509	11	2	0	0	0  <-- LEAK
SHUF	0	0	0	0	0	0

--- identity >= 0.90 ---
class	L>=50	L>=75	L>=100	L>=125	L>=150	L>=200
ALT	5413	4759	4276	3852	2854	162
NMOR	8	5	3	2	1	0  <-- LEAK
NSAC	144	21	15	11	6	4  <-- LEAK
NBOL	435	9	1	0	0	0  <-- LEAK
NPSI	1517	19	9	1	0	0  <-- LEAK
SHUF	0	0	0	0	0	0

--- identity >= 0.85 ---
class	L>=50	L>=75	L>=100	L>=125	L>=150	L>=200
ALT	5470	4816	4332	3900	2873	171
NMOR	10	7	5	4	3	0  <-- LEAK
NSAC	145	22	16	12	7	5  <-- LEAK
NBOL	436	10	2	1	0	0  <-- LEAK
NPSI	1518	20	10	2	0	0  <-- LEAK
SHUF	0	0	0	0	0	0

--- identity >= 0.80 ---
class	L>=50	L>=75	L>=100	L>=125	L>=150	L>=200
ALT	5473	4819	4335	3903	2876	173
NMOR	10	7	5	4	3	0  <-- LEAK
NSAC	146	23	17	13	8	6  <-- LEAK
NBOL	437	11	3	2	1	1  <-- LEAK
NPSI	1518	20	10	2	0	0  <-- LEAK
SHUF	0	0	0	0	0	0

