run	genus	read_support	n_unique_ITS
SRR30183952	Derxomyces	41	38
SRR30183952	Hyphopichia	34	34
SRR30183952	Ceraceosorus	32	32
SRR30183952	Scleroderma	22	21
SRR30183952	Thelephora	19	18
SRR30183952	Umbelopsis	15	15
SRR30183952	Filobasidium	12	11
SRR30183952	Cordyceps	12	12
SRR30183952	Alternaria	8	8
SRR30183952	Aureobasidium	8	8
SRR30183952	Boletus	6	6
SRR30183952	Holtermannia	6	6
SRR30183952	Fungi_gen_Incertae_sedis	4	4
SRR30183952	Zygotorulaspora	3	3
SRR30183952	Neocladosporium	3	3
SRR30183952	Kwoniella	3	3
SRR30183952	Sebacina	3	3
SRR30183952	Verruconis	3	3
SRR30183952	Sympoventuria	3	3
SRR30183952	Chrysozyma	3	3
SRR30183952	Cortinarius	3	3
SRR30183952	Pulchroboletus	3	3
SRR30183952	Selenophoma	3	3
SRR30183952	Puccinia	2	2
SRR30183952	Chrysomycena	2	2
SRR30183952	Pezizaceae_gen_Incertae_sedis	1	1
SRR30183952	Fenestella	1	1
SRR30183952	Circinella	1	1
SRR30183952	Vishniacozyma	1	1
SRR30183952	Ramularia	1	1
SRR30183952	Epicoccum	1	1
SRR30183952	Atractidochium	1	1
SRR30183952	Kondoa	1	1
SRR30183952	Pezicula	1	1
SRR30183458	Hyphopichia	119	119
SRR30183458	Derxomyces	112	110
SRR30183458	Ceraceosorus	69	68
SRR30183458	Thelephora	58	57
SRR30183458	Cordyceps	53	53
SRR30183458	Scleroderma	45	43
SRR30183458	Umbelopsis	36	36
SRR30183458	Pulchroboletus	14	13
SRR30183458	Boletus	13	13
SRR30183458	Xenasma	12	12
SRR30183458	Chrysozyma	12	12
SRR30183458	Kwoniella	9	9
SRR30183458	Vishniacozyma	8	8
SRR30183458	Peltula	7	7
SRR30183458	Cortinarius	7	7
SRR30183458	Zygotorulaspora	7	7
SRR30183458	Hydnum	6	6
SRR30183458	Holtermannia	5	5
SRR30183458	Sympoventuria	4	4
SRR30183458	Funneliformis	4	4
SRR30183458	Atractidochium	3	3
SRR30183458	Sebacina	3	3
SRR30183458	Penicillium	3	3
SRR30183458	Serendipitaceae_gen_Incertae_sedis	2	2
SRR30183458	Verruconis	2	2
SRR30183458	Lycoperdon	2	2
SRR30183458	Cephalotelium	2	2
SRR30183458	Usnea	1	1
SRR30183458	Tremella	1	1
SRR30183458	Lobaria	1	1
SRR30183458	Udeniomyces	1	1
SRR30183458	Botrytis	1	1
SRR30183458	Ramularia	1	1
SRR30183458	Dentiscutata	1	1
SRR30183458	Superstratomyces	1	1
SRR30183458	Circinella	1	1
